acc_x,acc_y,acc_z,label
0.18865967,1.5879364,-0.0322752,0
0.15634155,1.5388489,-0.10170269,0
0.21020508,1.4706116,-0.3004179,0
0.07972717,1.5304718,-0.11606121,0
0.0043029785,1.3544922,0.098217964,0
-0.032806396,1.5592041,-0.06338787,0
-0.03878784,1.4825897,0.004834175,0
-0.035202026,1.5831451,-0.2274046,0
-0.055541992,1.4849854,-0.08255291,0
-0.03878784,1.6298218,-0.24774456,0
-0.06871033,1.4574432,0.1796236,0
0.012680054,1.5137024,-0.10649395,0
0.08810425,1.353302,0.110180855,0
0.24731445,1.5268707,-0.25493145,0
0.20661926,1.3700562,0.05152607,0
0.2772522,1.5376587,-0.37703228,0
0.19584656,1.4598389,0.08744526,0
0.18507385,1.6214447,-0.081347466,0
-0.007659912,1.4514618,0.1843996,0
0.05937195,1.5987091,-0.2429533,0
-0.08666992,1.4011841,0.03956318,0
0.03303528,1.5771484,-0.2704954,0
7.171631E-4,1.4825897,0.09701252,0
0.13000488,1.5292664,-0.00593853,0
0.08691406,1.4059753,0.05152607,0
0.26408386,1.516098,-0.20225811,0
0.18147278,1.4658203,-0.074160576,0
0.19345093,1.4969482,-0.100497246,0
0.06535339,1.492157,0.0036439896,0
0.07852173,1.4861755,0.047940254,0
-0.007659912,1.5592041,-0.15916729,0
0.012680054,1.5125122,-0.08255291,0
0.0066986084,1.5675812,-0.17473125,0
0.058181763,1.4586487,0.1401186,0
0.12640381,1.5759583,-0.17233562,0
0.11323547,1.4119568,0.071881294,0
0.12281799,1.5256805,-0.23099041,0
0.0821228,1.3796387,0.13772297,0
0.17190552,1.5891266,-0.23099041,0
0.07254028,1.4263153,0.105389595,0
0.12042236,1.5568085,-0.20823956,0
0.053390503,1.4311066,0.12574482,0
0.17070007,1.6250458,-0.21423626,0
0.017471313,1.4694214,0.112576485,0
0.12640381,1.6058807,-0.25732708,0
0.013885498,1.4155426,0.07786274,0
0.12521362,1.5244904,-0.12922955,0
0.034240723,1.468216,0.0251894,0
0.18626404,1.5699768,-0.16394329,0
0.010284424,1.4311066,0.082654,0
0.08929443,1.5089264,-0.100497246,0
0.03543091,1.4981537,-0.13162518,0
0.10246277,1.5017395,-0.04902935,0
0.021072388,1.4789886,0.014416695,0
0.16471863,1.5603943,-0.05621624,0
0.14556885,1.6058807,-0.11366558,0
0.11323547,1.4275208,0.02998066,0
0.11444092,1.5101166,-0.18669415,0
0.12879944,1.461029,0.14370441,0
0.06895447,1.5496216,-0.112475395,0
0.0761261,1.4466705,0.04673481,0
0.12521362,1.5998993,-0.293231,0
0.015075684,1.3868103,0.19279194,0
0.10366821,1.5998993,-0.28126812,0
0.031845093,1.4670258,0.064694405,0
0.10725403,1.5735626,-0.16035748,0
0.010284424,1.416748,0.12695026,0
0.18746948,1.6394043,-0.27647686,0
0.05218506,1.4825897,0.09223652,0
0.14675903,1.5592041,-0.16754436,0
0.034240723,1.4239197,0.091031075,0
0.17070007,1.531662,-0.114871025,0
0.016281128,1.4394836,0.007229805,0
0.15992737,1.511322,-0.18789959,0
0.050994873,1.4730072,-0.04663372,0
0.09768677,1.4586487,0.10419941,0
0.1048584,1.5783539,-0.17473125,0
0.13598633,1.495758,-0.031069756,0
0.046203613,1.507721,-0.100497246,0
0.09169006,1.4658203,0.05871296,0
0.13598633,1.6334229,-0.2202177,0
0.053390503,1.437088,0.071881294,0
0.07852173,1.4945526,-0.13283062,0
0.11802673,1.492157,0.04194355,0
0.10845947,1.5292664,-0.11606121,0
0.0761261,1.452652,-0.03944683,0
0.07254028,1.4550476,-0.11128521,0
0.09169006,1.5149078,0.03716755,0
0.07014465,1.5448303,-0.114871025,0
0.12042236,1.5137024,-0.114871025,0
0.023452759,1.4418793,0.028775215,0
0.14796448,1.5460358,-0.07297039,0
0.07852173,1.5328674,-0.06338787,0
0.11444092,1.5125122,-0.10649395,0
0.09529114,1.4861755,-0.010714531,0
0.18626404,1.5723724,-0.1519804,0
0.058181763,1.461029,0.010830879,0
0.11323547,1.4646301,-0.09212017,0
0.1048584,1.4646301,-0.0047330856,0
0.10127258,1.5149078,-0.0610075,0
0.09768677,1.492157,-0.047839165,0
0.08331299,1.5089264,-0.13762188,0
0.09648132,1.476593,0.110180855,0
0.053390503,1.5436401,-0.090929985,0
0.14796448,1.5268707,-0.119662285,0
0.031845093,1.4406891,0.019207954,0
0.16950989,1.5244904,-0.069384575,0
0.12760925,1.5891266,-0.124453545,0
0.15634155,1.4993439,-0.00833416,0
0.029449463,1.4263153,0.01560688,0
0.16471863,1.5843353,-0.19986248,0
0.05458069,1.5208893,0.03716755,0
0.017471313,1.432312,-0.03467083,0
0.08570862,1.5484314,-0.12564373,0
0.08929443,1.5400391,-0.0011472702,0
0.09529114,1.5017395,-0.04663372,0
0.047409058,1.4598389,-0.10888958,0
0.18507385,1.5651855,-0.112475395,0
0.046203613,1.4909668,0.007229805,0
0.1108551,1.4382935,-0.05142498,0
0.06895447,1.531662,-0.03467083,0
0.1335907,1.5256805,-0.0657835,0
0.05937195,1.4706116,-0.050219536,0
-0.037597656,1.4071655,-0.015505791,0
-0.11061096,1.5184937,0.02279377,0
0.13719177,1.5436401,-0.16754436,0
0.414917,1.5400391,-0.2609129,0
0.3670349,1.507721,-0.04184246,0
0.3610382,1.5508118,0.15568256,0
0.20661926,1.4347076,0.004834175,0
0.12640381,1.4059753,-0.22140789,0
0.019866943,1.516098,-0.117266655,0
-0.030410767,1.6130676,0.004834175,0
-0.10821533,1.531662,-0.0011472702,0
-0.12857056,1.5101166,-0.05621624,0
0.06895447,1.5627899,0.110180855,0
-0.07948303,1.5041351,-0.071780205,0
0.04978943,1.4646301,-0.52907085,0
0.034240723,1.4789886,-0.07536602,0
0.15513611,1.5460358,0.3496065,0
0.10964966,1.4849854,0.19279194,0
0.22218323,1.432312,-0.2788725,0
0.22816467,1.4981537,-0.31000042,0
0.17907715,1.5544128,-0.066988945,0
0.07972717,1.5149078,0.110180855,0
0.012680054,1.4442749,0.064694405,0
0.12042236,1.5304718,-0.076556206,0
0.08091736,1.5424347,-0.16633892,0
0.13479614,1.4897614,-0.13881207,0
0.042617798,1.4730072,-0.06817913,0
0.12162781,1.5400391,-0.0023374557,0
0.024658203,1.531662,0.08984089,0
0.07733154,1.4634247,-0.08494854,0
0.11444092,1.5029297,-0.090929985,0
0.10006714,1.5053253,-0.14599895,0
0.021072388,1.461029,-0.076556206,0
-0.028015137,1.5041351,-0.0047330856,0
0.08810425,1.5939178,0.01800251,0
0.043807983,1.4909668,-0.016711235,0
0.19703674,1.4658203,-0.23936749,0
0.21858215,1.4299164,-0.23099041,0
0.24612427,1.500534,-0.13881207,0
0.1515503,1.6238403,0.37473774,0
0.046203613,1.6118774,0.088635445,0
0.047409058,1.5615997,-0.16994,0
-0.18603516,1.4239197,0.12334919,0
-0.111816406,1.4502563,-0.57695293,0
-0.090270996,1.5125122,-0.0945158,0
0.10366821,1.5651855,0.3507967,0
0.25091553,1.5987091,0.02758503,0
0.41131592,1.5244904,-0.18789959,0
0.32992554,1.4730072,-0.29683208,0
0.26885986,1.5340576,-0.064593315,0
0.048599243,1.5496216,0.095822334,0
-0.14772034,1.4789886,0.18081379,0
-0.1812439,1.5915222,-0.06338787,0
-0.0435791,1.5568085,-0.30520916,0
-0.116607666,1.4430847,-0.20704937,0
-0.06272888,1.4394836,-0.112475395,0
0.1335907,1.5627899,0.10899067,0
0.162323,1.5280762,0.19517231,0
0.26885986,1.4406891,-0.086138725,0
0.33470154,1.4825897,-0.32796,0
0.20301819,1.4299164,-0.18429852,0
0.031845093,1.4382935,0.014416695,0
-0.07829285,1.4550476,0.093426704,0
0.03303528,1.571167,-0.074160576,0
0.010284424,1.5568085,-0.114871025,0
0.028244019,1.5280762,-0.17473125,0
0.016281128,1.5364532,-0.17352581,0
0.042617798,1.6286316,0.04433918,0
0.07374573,1.6334229,0.12695026,0
0.06295776,1.5795441,-0.06338787,0
0.15873718,1.5328674,-0.2274046,0
0.08929443,1.4538574,-0.124453545,0
0.025848389,1.4658203,5.8174133E-5,0
0.07733154,1.5232849,0.11378193,0
0.11802673,1.5292664,-0.17473125,0
0.12879944,1.4933624,-0.1232481,0
0.08810425,1.4706116,-0.01790142,0
0.12281799,1.6214447,-0.11128521,0
0.06295776,1.634613,0.028775215,0
-0.012451172,1.5927124,5.8174133E-5,0
-0.08068848,1.5615997,-0.04184246,0
-0.0040740967,1.5675812,-0.17352581,0
-0.0016784668,1.5615997,-0.105288506,0
-0.057937622,1.5029297,0.0036439896,0
0.036621094,1.6046906,-0.095721245,0
0.027053833,1.6154633,0.057507515,0
0.012680054,1.516098,0.038357735,0
0.045013428,1.5256805,-0.10649395,0
0.0713501,1.5579987,-0.14718914,0
0.018676758,1.5232849,-0.02029705,0
-0.08187866,1.500534,-0.090929985,0
-0.0028686523,1.6214447,-0.12683392,0
-0.026824951,1.610672,-0.1627531,0
-0.029205322,1.5735626,-0.55061626,0
-0.17047119,1.5747681,0.3615694,0
-0.17166138,1.6226501,0.23229694,0
-0.19560242,1.5256805,0.21912861,0
-0.11061096,1.4107513,0.33762836,0
0.23175049,1.610672,-0.7708769,0
0.2197876,1.6334229,-0.7026396,0
-0.010055542,1.4909668,-0.033465385,0
-0.14294434,1.5017395,0.3507967,0
-0.11540222,1.5927124,0.19877338,0
-0.08547974,1.5568085,0.08504963,0
-0.016036987,1.5364532,-0.3111906,0
0.22218323,1.6250458,-0.47998333,0
0.031845093,1.5771484,-0.02748394,0
-0.12857056,1.5017395,0.114972115,0
-0.023223877,1.5232849,0.112576485,0
0.021072388,1.5496216,0.040753365,0
0.061767578,1.5196991,-0.1340208,0
0.034240723,1.5699768,-0.37463665,0
0.040222168,1.6094818,-0.11845684,0
-0.11300659,1.5579987,0.18560505,0
-0.12258911,1.5173035,-0.0071287155,0
0.016281128,1.586731,-0.028674126,0
0.037826538,1.5891266,-0.16156292,0
0.0821228,1.5484314,-0.20584393,0
-0.0040740967,1.5065308,0.004834175,0
0.034240723,1.571167,0.0251894,0
0.005508423,1.6034851,-0.033465385,0
-0.049560547,1.4981537,-0.06338787,0
0.039016724,1.5627899,-0.14839458,0
0.0019073486,1.6166534,-0.22380352,0
7.171631E-4,1.5699768,0.019207954,0
-0.08308411,1.5544128,0.009625435,0
0.03303528,1.555603,-0.03467083,0
0.03543091,1.6022949,-0.04184246,0
-0.033996582,1.5125122,-0.17352581,0
0.14077759,1.547226,-0.38901043,0
-0.07589722,1.626236,0.028775215,0
-0.12738037,1.5532074,0.20834064,0
-0.14653015,1.5987091,-0.016711235,0
-0.08427429,1.595108,-0.1519804,0
-0.08427429,1.5615997,0.0036439896,0
-0.23033142,1.5125122,0.010830879,0
-0.08547974,1.5675812,0.004834175,0
-0.12019348,1.6405945,0.1915865,0
-0.08187866,1.4933624,0.06828022,0
0.0761261,1.5603943,-0.40576458,0
0.15394592,1.6453857,-0.63081646,0
0.06774902,1.5424347,-0.10649395,0
-0.18603516,1.456253,0.38192463,0
-0.055541992,1.5987091,0.13053608,0
0.024658203,1.6310272,-0.04423809,0
-0.0028686523,1.4442749,-0.15077496,0
0.16711426,1.5579987,-0.39978313,0
0.1156311,1.665741,-0.21423626,0
-0.10702515,1.4945526,0.22630024,0
-0.14653015,1.4706116,0.21194172,0
0.08451843,1.6824951,-0.24895,0
0.042617798,1.5879364,-0.119662285,0
-0.08666992,1.4358978,-0.081347466,0
0.09648132,1.6286316,-0.29085064,0
0.031845093,1.6765137,0.06110859,0
-0.13815308,1.4227295,0.21552753,0
0.025848389,1.5699768,-0.15796185,0
0.15513611,1.7148285,-0.28366375,0
0.007904053,1.4825897,-0.0035429,0
-0.057937622,1.471817,-0.040652275,0
0.10127258,1.6681366,-0.093325615,0
-0.03878784,1.6334229,0.08504963,0
-0.13215637,1.4622345,-0.0047330856,0
0.13240051,1.586731,-0.33873272,0
0.0019073486,1.626236,-0.11128521,0
-0.066329956,1.4335022,-0.13641644,0
-0.0723114,1.5927124,-0.00833416,0
-0.049560547,1.6298218,0.2418642,0
-0.08427429,1.547226,-0.031069756,0
-0.0016784668,1.5496216,-0.52307415,0
0.12402344,1.610672,-0.3794279,0
-0.14294434,1.571167,0.1448946,0
-0.27342224,1.5149078,0.20116901,0
-0.18243408,1.6011047,0.15328693,0
-0.20758057,1.6034851,0.19756794,0
-0.08427429,1.5208893,-0.209445,0
0.015075684,1.5987091,-0.4380827,0
-0.05076599,1.6190491,-0.15317059,0
-0.18962097,1.5855408,0.15328693,0
-0.25785828,1.5520172,0.1448946,0
-0.08068848,1.586731,-0.110079765,0
-0.049560547,1.6250458,-0.3590727,0
-0.10223389,1.5065308,-0.11845684,0
-0.016036987,1.5975037,-0.009524345,0
-0.13336182,1.6441956,-0.0370512,0
-0.12857056,1.500534,0.17841816,0
-0.09744263,1.5699768,-0.090929985,0
0.019866943,1.6441956,-0.33154583,0
-0.031600952,1.6034851,-0.15077496,0
-0.21237183,1.4945526,0.07307148,0
-0.026824951,1.5819397,-0.04184246,0
-0.061538696,1.6202545,-0.05382061,0
-0.12617493,1.4897614,0.02039814,0
0.029449463,1.6214447,-0.26211834,0
-0.024429321,1.6777191,-0.19507122,0
-0.18363953,1.4873657,0.29453754,0
-0.13815308,1.5244904,0.08984089,0
0.07374573,1.6525726,-0.25253582,0
0.027053833,1.5280762,-0.0945158,0
-0.116607666,1.4574432,-0.22978497,0
0.06895447,1.6777191,-0.26570415,0
-0.011260986,1.6848907,0.098217964,0
-0.18363953,1.4347076,0.26221943,0
0.08451843,1.5579987,-0.21542645,0
0.13598633,1.6753235,-0.32796,0
0.0019073486,1.4538574,0.076672554,0
-0.032806396,1.5520172,-0.114871025,0
0.04978943,1.6633453,-0.098116875,0
-0.054351807,1.5508118,0.16405964,0
-0.15371704,1.4598389,-0.0023374557,0
0.1503601,1.6489868,-0.33154583,0
0.043807983,1.6322174,-0.08972454,0
-0.12617493,1.4119568,0.091031075,0
0.0821228,1.5496216,-0.62004375,0
-0.07350159,1.6932678,-0.064593315,0
-0.29855347,1.4777985,0.57226276,0
-0.22433472,1.5352631,0.32685566,0
0.012680054,1.6645508,-0.117266655,0
0.11683655,1.5220947,-0.14360332,0
0.09768677,1.5280762,-0.49196148,0
0.22697449,1.6729279,-0.47279644,0
0.0066986084,1.6154633,-0.08732891,0
-0.2674408,1.4239197,0.29334736,0
-0.09864807,1.6058807,0.23229694,0
0.009094238,1.6944733,-0.0023374557,0
0.10127258,1.4789886,-0.1340208,0
